match_id;id;name;country_code;role;image
2019275;250018989;Stuart Burt;ENG;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250018989.jpg
2019275;250064467;Craig Pawson;ENG;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250064467.jpg
2019275;250060924;Harry Lennard;ENG;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250060924.jpg
2019275;291428;Andre Marriner;ENG;REFEREE;https://img.uefa.com/imgml/referees/75x75/291428.jpg
2019275;250013186;Robert Madley;ENG;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250013186.jpg
2019275;250006780;Nils Fisketjonn;NOR;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/250006780.jpg
2019279;1910018;Riccardo Di Fiore;ITA;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/1910018.jpg
2019279;1908552;Gianluca Cariolato;ITA;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/1908552.jpg
2019279;250061405;Davide Massa;ITA;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250061405.jpg
2019279;250019565;Daniele Doveri;ITA;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250019565.jpg
2019279;262474;Gianluca Rocchi;ITA;REFEREE;https://img.uefa.com/imgml/referees/75x75/262474.jpg
2019279;250072637;Filippo Meli;ITA;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250072637.jpg
2019279;150025022;Alan McRae;SCO;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/150025022.jpg
2019281;250044258;Stuart Stevenson;SCO;FOURTH_OFFICIAL;https://img.uefa.com/imgml/referees/75x75/250044258.jpg
2019281;288322;Dennis Cruise;IRL;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/288322.jpg
2019281;281334;Craig Thomson;SCO;REFEREE;https://img.uefa.com/imgml/referees/75x75/281334.jpg
2019281;250026628;Alan Mulvanny;SCO;ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250026628.jpg
2019281;250066444;Andrew Dallas;SCO;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/250066444.jpg
2019281;250054652;David McGeachie;SCO;ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250054652.jpg
2019281;250039483;Kevin Clancy;SCO;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/250039483.jpg
2019282;1903701;Tamás Bognár;HUN;ADDITIONAL_ASSISTANT_REFEREE_ONE;https://img.uefa.com/imgml/referees/75x75/1903701.jpg
2019282;274334;Viktor Kassai;HUN;REFEREE;https://img.uefa.com/imgml/referees/75x75/274334.jpg
2019282;274361;Dag Steinar Vestlund;NOR;UEFA_DELEGATE;https://img.uefa.com/imgml/referees/75x75/274361.jpg
2019282;262547;Zsolt Szabó;HUN;ADDITIONAL_ASSISTANT_REFEREE_TWO;https://img.uefa.com/imgml/referees/75x75/262547.jpg
