season;federation;points
2015-2016;FRO;0.725
2015-2016;AND;0.199
2015-2016;GIB;0.2
2015-2016;SMR;0.066
2016-2017;ESP;20.999
2016-2017;GER;15.899
2016-2017;ITA;14.666
2016-2017;FRA;11.333
2016-2017;POR;9.866
2016-2017;ENG;15.192
2016-2017;UKR;8.526
2016-2017;RUS;10.106
2016-2017;SUI;6.415
2016-2017;NED;6.212
2016-2017;GRE;5.58
2016-2017;TUR;7.84
2016-2017;BEL;8.48
2016-2017;CZE;6.635
2016-2017;SCO;3.785
2016-2017;AUT;5.07
2016-2017;DEN;4.8
2016-2017;ROU;4.87
2016-2017;BUL;3.175
2016-2017;BLR;3.975
2016-2017;POL;3.95
2016-2017;CYP;3.71
2016-2017;CRO;5.05
2016-2017;ISR;3.875
2016-2017;SVN;2.625
2016-2017;NOR;3.665
2016-2017;AZE;3.55
2016-2017;SWE;3.945
2016-2017;KAZ;3.05
2016-2017;SRB;3.075
2016-2017;MDA;1.9
2016-2017;FIN;1.53
2016-2017;HUN;1.9
2016-2017;SVK;2.35
2016-2017;ALB;1.325
2016-2017;ISL;1.675
2016-2017;LTU;0.825
2016-2017;IRL;1.315
2016-2017;WAL;0.775
2016-2017;LVA;1.225
2016-2017;GEO;1.275
2016-2017;BIH;1.3
2016-2017;MKD;1.125
2016-2017;LUX;0.975
2016-2017;EST;1.05
2016-2017;MLT;0.8
2016-2017;LIE;2.2
2016-2017;NIR;0.9
2016-2017;ARM;1.025
2016-2017;MNE;1.05
2016-2017;GIB;0.5
2016-2017;FRO;0.7
2016-2017;AND;0.233
2016-2017;SMR;0.066
2017-2018;ESP;21.399
2017-2018;GER;14.285
2017-2018;ITA;15.249
2017-2018;FRA;11.283
2017-2018;ENG;15.921
2017-2018;POR;9.449
2017-2018;UKR;8.226
2017-2018;RUS;10.676
2017-2018;SUI;6.04
2017-2018;TUR;7.16
2017-2018;AUT;6.57
2017-2018;GRE;5.72
2017-2018;NED;5.949
2017-2018;BEL;7.7
2017-2018;BUL;3.825
2017-2018;CZE;6.035
2017-2018;DEN;5.19
2017-2018;SCO;3.725
2017-2018;ROU;4.09
2017-2018;CYP;4.31
2017-2018;POL;4.025
2017-2018;SVN;2.9
2017-2018;ISR;4.35
2017-2018;KAZ;3.625
2017-2018;AZE;3.825
2017-2018;BLR;3.725
2017-2018;CRO;5.2
2017-2018;SRB;3.75
2017-2018;MDA;2.0
2017-2018;SWE;3.995
2017-2018;NOR;3.485
2017-2018;ALB;1.7
2017-2018;FIN;1.38
2017-2018;ISL;1.65
2017-2018;IRL;1.34
2017-2018;LTU;1.075
2017-2018;MKD;1.5
2017-2018;WAL;0.775
2017-2018;SVK;2.425
2017-2018;HUN;1.625
2017-2018;GEO;1.0
2017-2018;EST;1.1
2017-2018;BIH;1.325
2017-2018;LVA;1.125
2017-2018;LUX;0.875
2017-2018;MLT;0.9
2017-2018;FRO;0.75
2017-2018;MNE;1.0
2017-2018;NIR;0.85
2017-2018;LIE;2.6
2019-2020;FRO;0.75
2019-2020;SMR;0.133
2019-2020;KOS;0.8
2020-2021;GER;14.714
2020-2021;ESP;19.571
2020-2021;ENG;20.113
2020-2021;ITA;15.087
2020-2021;FRA;11.216
2020-2021;POR;9.709
2020-2021;NED;7.84
2020-2021;UKR;6.62
2020-2021;AUT;7.165
2020-2021;RUS;7.676
2020-2021;SUI;5.245
2020-2021;TUR;6.02
2020-2021;CRO;5.255
2020-2021;CZE;5.32
2020-2021;DEN;5.575
2020-2021;GRE;5.2
2020-2021;BEL;7.3
2020-2021;SCO;6.675
2020-2021;SRB;5.35
2020-2021;BUL;4.075
2020-2021;CYP;5.55
2020-2021;KAZ;3.125
2020-2021;AZE;3.375
2020-2021;ROU;3.64
2020-2021;ISR;4.875
2020-2021;SWE;4.1
2020-2021;BLR;3.05
2020-2021;NOR;4.2
2020-2021;POL;3.025
2020-2021;MDA;1.375
2020-2021;SVN;2.85
2020-2021;HUN;3.1
2020-2021;IRL;1.575
2020-2021;MKD;1.525
2020-2021;LTU;1.75
2020-2021;BIH;1.6
2020-2021;LUX;1.65
2020-2021;SVK;2.725
2020-2021;WAL;1.0
2020-2021;GEO;1.375
2020-2021;ARM;1.475
2020-2021;EST;0.95
2020-2021;MNE;1.0
2020-2021;ALB;1.45
2020-2021;MLT;1.275
2020-2021;LVA;1.475
2020-2021;GIB;1.133
2020-2021;LIE;1.8
2020-2021;FIN;1.375
2020-2021;FRO;1.225
2020-2021;NIR;1.391
2020-2021;ISL;0.975
2020-2021;AND;0.666
2020-2021;KOS;1.166
2020-2021;SMR;0.233
2021-2022;GER;14.442
2004-2005;ESP;24.326
2004-2005;ITA;20.191
2004-2005;ENG;20.864
2004-2005;GER;16.166
2004-2005;POR;14.739
2004-2005;NED;13.145
2004-2005;FRA;16.324
2004-2005;GRE;11.715
2004-2005;SCO;10.476
2004-2005;TUR;9.872
2004-2005;BEL;10.476
2004-2005;CZE;9.223
2004-2005;UKR;8.2
2004-2005;RUS;8.469
2004-2005;NOR;6.665
2004-2005;SUI;6.887
2004-2005;POL;6.929
2004-2005;SRB;7.012
2004-2005;AUT;8.208
2004-2005;CRO;5.98
2004-2005;ISR;7.218
2004-2005;ROU;5.101
2004-2005;DEN;5.676
2004-2005;HUN;5.39
2004-2005;BUL;6.118
2004-2005;SWE;5.076
2004-2005;SVK;3.85
2004-2005;SVN;3.19
2004-2005;CYP;2.695
2004-2005;BIH;2.365
2004-2005;FIN;2.158
2004-2005;GEO;2.035
2004-2005;IRL;1.375
2004-2005;LVA;2.2
2004-2005;MDA;2.09
2004-2005;ISL;1.595
2004-2005;MKD;1.485
2004-2005;MLT;0.99
2004-2005;LTU;1.76
2004-2005;BLR;1.347
